Time,Average Power (mW)
05-10-2024 03:53:41,14060.813333333334
05-10-2024 03:54:11,9994.004484304933
05-10-2024 03:54:41,16904.875555555554
05-10-2024 03:55:11,25911.4192139738
05-10-2024 03:55:41,15279.697368421053
05-10-2024 03:56:11,8491.931506849314
05-10-2024 03:56:41,7816.130044843049
05-10-2024 03:57:11,8919.62443438914
05-10-2024 03:57:41,9784.363636363636
05-10-2024 03:58:11,8873.684931506848
05-10-2024 03:58:41,7890.488584474886
05-10-2024 03:59:11,7808.6425339366515
05-10-2024 03:59:41,7818.155251141552
05-10-2024 04:00:11,7807.163636363636
05-10-2024 04:00:41,7805.257918552036
05-10-2024 04:01:11,7819.59633027523
05-10-2024 04:01:41,7828.823529411765
05-10-2024 04:02:11,7799.004566210046
05-10-2024 04:02:41,7818.527272727273
05-10-2024 04:03:11,7797.195454545455
05-10-2024 04:03:41,7788.472727272727
05-10-2024 04:04:11,7788.51376146789
05-10-2024 04:04:41,7781.590909090909
05-10-2024 04:05:11,7783.812785388128
05-10-2024 04:05:41,7777.288990825688
05-10-2024 04:06:11,7763.036199095022
05-10-2024 04:06:41,7765.799086757991
05-10-2024 04:07:11,7772.559090909091
05-10-2024 04:07:41,7754.940639269406
05-10-2024 04:08:11,7751.836363636364
05-10-2024 04:08:41,7783.917808219178
05-10-2024 04:09:11,7753.814479638009
05-10-2024 04:09:41,7760.009090909091
05-10-2024 04:10:11,7785.434389140271
05-10-2024 04:10:41,7745.233183856502
05-10-2024 04:11:11,7752.197247706422
05-10-2024 04:11:41,7768.828054298642
05-10-2024 04:12:11,7753.744292237443
05-10-2024 04:12:41,7747.243119266055
05-10-2024 04:13:11,7771.064814814815
05-10-2024 04:13:41,7751.745454545455
05-10-2024 04:14:11,7735.152073732719
05-10-2024 04:14:41,7765.380733944954
05-10-2024 04:15:11,7768.076923076923
05-10-2024 04:15:41,7748.805429864254
05-10-2024 04:16:11,7767.261467889908
05-10-2024 04:16:41,7745.162895927602
05-10-2024 04:17:11,7760.391891891892
05-10-2024 04:17:41,7770.740909090909
05-10-2024 04:18:11,7749.022727272727
05-10-2024 04:18:41,7744.638009049774
05-10-2024 04:19:11,7772.009132420091
05-10-2024 04:19:41,7743.796380090498
